altitud,pendiente,orientacion,is_fire,date,geometry,t_max,u,v,specific_humidity,relative_humidity
70.722,30.1594,190.87735,False,2013-10-16 16:48:50,POINT (5.875727340572365 38.85653707959642),295.75634765625,5.547043323516846,-2.435697317123413,0.01274963840842247,77.179443359375
2.665,0.27639532,9.63295,False,2016-11-26 00:13:33,POINT (5.920994080820075 38.86883633839565),291.412109375,-6.310628414154053,6.304253101348877,0.006468724459409714,53.6259765625
51.47575,2.2728271,334.0904,False,2001-05-27 00:38:40,POINT (5.907349315137301 38.83800564603155),295.091552734375,-1.3880037069320679,-2.3894705772399902,0.005640830844640732,34.19044494628906
73.715,63.54908,152.10602,False,2005-04-13 16:34:14,POINT (5.890938428482765 38.87080106102544),287.6279296875,5.262435436248779,-2.1683342456817627,0.0061641596257686615,61.16838073730469
190.22176,45.58882,136.77547,False,2014-06-25 02:35:01,POINT (5.929973123996742 38.82370105396313),295.319580078125,8.36575698852539,1.2160485982894897,0.012418914586305618,75.80763244628906
1.47075,3.319827,354.14343,False,2001-02-22 12:17:19,POINT (5.958226269017121 38.85240290108383),286.49462890625,10.388978958129883,-2.0169124603271484,0.005334921181201935,65.57423400878906
2.24625,0.85826576,10.999039,False,1994-03-22 21:05:55,POINT (5.958887986499488 38.88085452697786),285.562744140625,-3.596489667892456,-4.560560703277588,0.0071324557065963745,82.29904174804688
70.951004,10.69199,69.80078,False,2009-05-06 20:42:31,POINT (5.871395842922726 38.87344577950113),288.086669921875,3.4273681640625,-5.1627278327941895,0.0076470221392810345,74.82789611816406
53.00025,15.659534,97.15794,False,2005-01-06 14:17:36,POINT (5.869797200893199 38.88240414317235),284.10205078125,5.364901065826416,-4.272522449493408,0.005552325397729874,71.87040710449219
96.51,7.2067604,56.31666,False,2012-03-29 23:21:47,POINT (5.938326666506692 38.80979726903711),288.192626953125,-5.866359710693359,-1.4010072946548462,0.004873540252447128,45.122406005859375
83.08775,43.114906,345.30353,False,2013-02-13 23:50:25,POINT (5.92121418565248 38.84184867631884),282.97216796875,5.813265323638916,-13.291131019592285,0.003821740858256817,52.136993408203125
146.145,49.399708,338.50006,True,1993-08-07 00:00:00,POINT (5.94922913856059 38.83263057187033),300.4921875,0.37739837169647217,0.3534961938858032,0.010309301316738129,48.98211669921875
1.471,0.91555846,176.3993,False,2005-10-11 00:58:04,POINT (5.949713586928765 38.87640215512776),293.300048828125,-5.587686061859131,2.4728994369506836,0.010140728205442429,69.95606994628906
6.27675,0.25386512,84.06496,False,2008-08-11 01:03:52,POINT (5.922992361479429 38.85432676492811),297.609130859375,-3.7651712894439697,2.60888409614563,0.013179700821638107,73.24186706542969
54.55925,1.5011916,263.61847,False,1993-10-08 09:55:34,POINT (5.907223979604201 38.83634208255791),294.21728515625,10.02471923828125,0.3586372435092926,0.006719626486301422,50.50882339477539
509.39,143.42177,356.57288,True,2015-05-14 00:00:00,POINT (5.851089565802322 38.82096963895003),300.2392578125,4.387882232666016,6.3551025390625,0.005190964788198471,27.4466552734375
496.23224,3.7998154,57.429283,False,2007-11-30 06:33:24,POINT (5.876113533655812 38.80463473558512),287.1083984375,5.545732498168945,-5.382932186126709,0.005704838782548904,58.61530685424805
656.2822,56.101257,323.354,False,2004-09-29 01:09:12,POINT (5.888797327768189 38.80224946398803),293.535888671875,-0.339400976896286,1.7867437601089478,0.009033720940351486,60.443328857421875
122.71,25.050179,58.113403,False,2011-05-30 00:46:03,POINT (5.932121042317428 38.8185119398828),294.28759765625,-7.782756805419922,3.7380282878875732,0.009166322648525238,58.33006286621094
0.93525004,0.13384868,348.69006,False,2009-11-21 13:00:41,POINT (5.924827610007706 38.87941602256392),290.49853515625,0.8726375102996826,3.4958457946777344,0.007009547203779221,58.242366790771484
0.83,0.44146383,268.21506,False,2002-06-22 08:18:12,POINT (5.935857488756451 38.87017503638683),298.886962890625,-3.076917886734009,-1.3314204216003418,0.006668701767921448,32.891937255859375
265.5445,56.41965,229.29726,False,2004-06-20 15:43:31,POINT (5.939523350566398 38.83048801328952),293.12744140625,-0.09763562679290771,-1.997583031654358,0.010132256895303726,70.17816162109375
2.18675,1.6881326,169.18097,False,1997-10-25 06:11:17,POINT (5.911748207072999 38.87523862736806),292.46484375,1.0895557403564453,-4.958282470703125,0.007744886446744204,57.80857849121094
1.1372501,0.69158584,242.55496,False,2016-12-25 14:23:42,POINT (5.938681142499137 38.88136522349085),287.3896484375,9.476733207702637,-5.716291904449463,0.007435370236635208,75.21731567382812
20.9645,2.522006,9.226601,False,2014-11-14 16:26:38,POINT (5.896650900091398 38.85255110296467),293.0107421875,2.9519073963165283,6.236141204833984,0.00973522663116455,68.93798828125
164.45575,57.258354,6.4420166,False,2001-06-23 20:40:28,POINT (5.848995227738237 38.85651704969124),300.777587890625,-3.8731186389923096,3.10925555229187,0.003980077803134918,18.037948608398438
560.26697,61.249783,177.8653,True,2015-05-14 00:00:00,POINT (5.854580600054172 38.81322648277446),300.31298828125,4.367093563079834,6.368264675140381,0.005175694823265076,27.234359741210938
560.26697,61.249783,177.8653,True,2000-08-27 00:00:00,POINT (5.854580600054172 38.81322648277446),297.885009765625,-1.1710867881774902,-6.113950252532959,0.012479715049266815,67.38681030273438
390.00824,52.634132,6.049713,False,2003-04-19 21:47:17,POINT (5.909658276057152 38.81551540275284),289.12109375,-0.2560364305973053,5.660668849945068,0.007823452353477478,74.97074890136719
33.08925,1.6362091,59.771637,False,2008-08-20 19:39:55,POINT (5.901968619792429 38.84449097911061),298.4326171875,-4.489277362823486,-3.969111204147339,0.013699736446142197,75.80502319335938
117.17825,43.83,65.63688,False,2006-05-30 17:28:34,POINT (5.882323254475796 38.87434755410253),293.049072265625,-1.9784002304077148,-8.854931831359863,0.006184697151184082,50.52854919433594
2.911,1.3972529,304.83453,False,2001-11-18 21:48:27,POINT (5.914637901319604 38.86980609190172),292.353759765625,6.090396881103516,1.876351237297058,0.0076558515429496765,69.51812744140625
51.722,2.0727894,45.416054,False,2015-06-01 12:49:35,POINT (5.87235900708551 38.85157490808177),291.2353515625,-3.2748305797576904,-1.6425762176513672,0.010096009820699692,79.28987121582031
1.9455,0.9960044,6.9198,False,2014-03-20 01:12:19,POINT (5.928096395248903 38.85937901762615),285.87451171875,-1.3923252820968628,-0.11097311228513718,0.0071251280605793,81.57911682128906
148.83475,9.8252535,313.649,False,1999-04-25 19:30:46,POINT (5.951811686399216 38.84355630702456),287.3798828125,1.1316291093826294,1.5892643928527832,0.0063112154603004456,66.35078430175781
95.338,20.695105,185.87941,False,2014-10-06 06:58:21,POINT (5.862682351833977 38.84442514445844),295.732421875,0.06019492819905281,3.17136549949646,0.010921765118837357,66.61116027832031
294.37177,24.640535,242.65234,False,2000-10-02 00:24:40,POINT (5.939777548513938 38.83106720021458),292.893310546875,5.204861164093018,-8.663905143737793,0.006483904551714659,46.24909973144531
11.17675,1.2422895,76.52959,False,2016-05-03 12:40:00,POINT (5.908947749866385 38.85602905692875),287.935791015625,7.624614238739014,-7.344590663909912,0.006820894777774811,66.21345520019531
82.20325,19.935492,70.73668,False,2003-02-08 06:49:42,POINT (5.895634793397987 38.83176524073589),283.468994140625,-4.061506271362305,1.1316882371902466,0.0037179153878241777,48.53553771972656
184.444,40.365025,78.60851,True,2015-05-14 00:00:00,POINT (5.855562795308973 38.83923908211496),300.075927734375,4.418660640716553,6.327645778656006,0.005208827555179596,27.876602172851562
143.3255,13.743125,274.82324,False,2015-10-15 17:57:57,POINT (5.949909070060806 38.84211792306455),291.880859375,-1.5002790689468384,-1.6058903932571411,0.007706164848059416,61.63217544555664
217.556,55.44038,39.54745,False,1994-02-16 00:42:43,POINT (5.896421392634299 38.82134016586353),285.80810546875,-10.310173988342285,0.0043939948081970215,0.00675012543797493,73.73471069335938
269.8105,83.17555,52.138145,False,2010-10-08 12:07:10,POINT (5.940303009681402 38.82704493142973),295.3642578125,-3.0607330799102783,3.1616594791412354,0.014544408768415451,87.9146728515625
1.2155,2.5073168,69.51415,False,2009-05-18 01:35:15,POINT (5.920594547208306 38.87596348643348),292.041259765625,-4.840312480926514,0.32246288657188416,0.00948985293507576,70.10447692871094
146.778,40.321033,345.6725,False,1996-07-19 09:38:10,POINT (5.853627556731216 38.88158448739792),296.662841796875,4.227468967437744,-1.0076570510864258,0.011847790330648422,64.27792358398438
